序號,路名,行政區
1,大直街62巷,中山區
2,大直街,中山區
3,大直街94巷3弄,中山區
4,中山橋,中山區
5,內湖路1段,中山區
6,北安路,中山區
7,北安路458巷41弄,中山區
8,北安路458巷47弄,中山區
9,北安路501巷,中山區
10,北安路518巷,中山區
11,北安路630巷,中山區
12,北安路670巷,中山區
13,明水路,中山區
14,明水路397巷,中山區
15,明水路397巷18弄,中山區
16,明水路397巷19弄,中山區
17,明水路672巷,中山區
18,基湖路,中山區
19,通北街,中山區
20,堤頂大道2段,中山區
21,堤頂大道2段470巷,中山區
22,植福路,中山區
23,植福路286巷,中山區
24,敬業一路,中山區
25,敬業一路128巷,中山區
26,敬業一路36巷,中山區
27,敬業二路,中山區
28,敬業二路69巷,中山區
29,敬業三路,中山區
30,敬業四路,中山區
31,樂群一路,中山區
32,樂群一路,中山區
33,樂群二路,中山區
34,樂群二路265巷,中山區
35,樂群二路266巷,中山區
36,樂群二路30巷,中山區
37,樂群三路,中山區
38,崇實路,中山區
39,堤頂大道二段,中山區
40,自強隧道,中山區
41,民族西路,大同區
42,民族西路225巷,大同區
43,玉門街,大同區
44,延平北路4段,大同區
45,承德橋,大同區
46,哈密街,大同區
47,迪化橋,大同區
48,庫倫街,大同區
49,酒泉街,大同區
50,敦煌路,大同區
51,慶昌橋,大同區
52,環河北路1段,大同區
53,環河北路2段,大同區
54,台北橋引道,大同區
