案件編號,查報日期,來源編號,查報地點,損壞情況,損壞狀況
111091502965, 111/09/15 00:00,中山巡1110905894,中山區明水路592號,龜裂,觀察
111091502978, 111/09/15 00:00,中山巡1110905899,中山區北安路468號,龜裂,觀察
111091502981, 111/09/15 00:00,中山巡1110905900,中山區北安路592-2號,龜裂,觀察
111091502984, 111/09/15 00:00,中山巡1110905901,中山區北安路602-1號,龜裂,觀察
111091503029, 111/09/15 00:00,中山巡1110905903,中山區北安路712號,龜裂,觀察
111091503035, 111/09/15 00:00,中山巡1110905906,中山區北安路669號,龜裂,觀察
111091503037, 111/09/15 00:00,中山巡1110905907,中山區北安路712號,龜裂,觀察
111091503039, 111/09/15 00:00,中山巡1110905908,中山區北安路712號,龜裂,觀察
111091503046, 111/09/15 00:00,中山巡1110905911,中山區北安路761號,龜裂,觀察
111091503090, 111/09/15 00:00,中山巡1110905912,中山區北安路779號,龜裂,觀察
111091503092, 111/09/15 00:00,中山巡1110905913,中山區北安路112號,龜裂,觀察
111091503094, 111/09/15 00:00,中山巡1110905914,中山區北安路811號,龜裂,觀察
111091503103, 111/09/15 00:00,中山巡1110905919,中山區堤頂大道2段480號,龜裂,觀察
111091503105, 111/09/15 00:00,中山巡1110905920,中山區堤頂大道2段242號,龜裂,觀察
111091503107, 111/09/15 00:00,中山巡1110905921,中山區北安路825號,龜裂,觀察
111091503164, 111/09/15 00:00,中山巡1110905928,中山區北安路721-1號,龜裂,觀察
111091503168, 111/09/15 00:00,中山巡1110905930,中山區北安路669號,龜裂,觀察
111091503215, 111/09/15 00:00,中山巡1110905933,中山區北安路549號,龜裂,觀察
111091503217, 111/09/15 00:00,中山巡1110905934,中山區大直街20號,龜裂,觀察
111091503221, 111/09/15 00:00,中山巡1110905936,中山區大直街62號,龜裂,觀察
111091503231, 111/09/15 00:00,中山巡1110905940,中山區建國北路3段往北未到五常街15公尺,溝蓋路邊緣石,觀察
111091503275, 111/09/15 00:00,中山巡1110905941,中山區建國北路3段往北過民權東路80公尺,縱向及橫向裂縫,觀察
111091503282, 111/09/15 00:00,中山巡1110905944,中山區建國北路3段53號,私設斜坡道,觀察
111091503284, 111/09/15 00:00,中山巡1110905945,中山區建國北路3段55號,私設斜坡道,觀察
111091503286, 111/09/15 00:00,中山巡1110905946,中山區建國北路3段57號,縱向及橫向裂縫,觀察
111091503339, 111/09/15 00:00,中山巡1110905950,中山區建國北路3段99號,縱向及橫向裂縫,觀察
111091503343, 111/09/15 00:00,中山巡1110905952,中山區建國北路3段103號,私設斜坡道,觀察
111091503348, 111/09/15 00:00,中山巡1110905954,中山區建國北路3段107號,側溝蓋破損,觀察
111091503351, 111/09/15 00:00,中山巡1110905955,中山區建國北路3段107號,縱向及橫向裂縫,觀察
111091503398, 111/09/15 00:00,中山巡1110905957,中山區建國北路3段115號,側溝蓋破損,觀察
111091503400, 111/09/15 00:00,中山巡1110905958,中山區新生北路3段509號,龜裂,觀察
111091503402, 111/09/15 00:00,中山巡1110905959,中山區新生北路3段509號,龜裂,觀察
111091503405, 111/09/15 00:00,中山巡1110905960,中山區新生北路3段158號,龜裂,觀察
111091503408, 111/09/15 00:00,中山巡1110905962,中山區中山北路4段1號,龜裂,觀察
111091503410, 111/09/15 00:00,中山巡1110905963,中山區新生北路3段79號,龜裂,觀察
111091503412, 111/09/15 00:00,中山巡1110905964,中山區建國北路3段119號,私設斜坡道,觀察
111091503417, 111/09/15 00:00,中山巡1110905966,中山區建國北路3段133號,溝蓋路邊緣石,觀察
111091503461, 111/09/15 00:00,中山巡1110905967,中山區建國北路3段135號,溝蓋路邊緣石,觀察
111091503471, 111/09/15 00:00,中山巡1110905971,中山區建國北路3段171號,縱向及橫向裂縫,觀察
111091503474, 111/09/15 00:00,中山巡1110905972,中山區建國北路3段175號,溝蓋路邊緣石,觀察
111091503476, 111/09/15 00:00,中山巡1110905973,中山區建國北路3段與民族東路交叉口,縱向及橫向裂縫,觀察
111091503529, 111/09/15 00:00,中山巡1110905978,中山區民族東路282號,縱向及橫向裂縫,觀察
111091503534, 111/09/15 00:00,中山巡1110905980,中山區民族東路336號,側溝蓋破損,觀察
111091503537, 111/09/15 00:00,中山巡1110905981,中山區民族東路336號,溝蓋路邊緣石,觀察
111091503539, 111/09/15 00:00,中山巡1110905982,中山區民族東路336號,側溝蓋破損,觀察
111091503588, 111/09/15 00:00,中山巡1110905985,中山區民族東路336號,縱向及橫向裂縫,觀察
111091503601, 111/09/15 00:00,中山巡1110905990,中山區龍江路410號,鋪面破損,觀察
111091503651, 111/09/15 00:00,中山巡1110905993,中山區龍江路360號,人手孔缺失,觀察
111091503665, 111/09/15 00:00,中山巡1110905999,中山區龍江路330號,側溝蓋破損,觀察
111091503705, 111/09/15 00:00,中山巡1110906005,中山區通河街與中山北路4段交叉口1,龜裂,觀察
111091503736, 111/09/15 00:00,中山巡1110906008,中山區北安路456號,坑洞,觀察
111091503741, 111/09/15 00:00,中山巡1110906010,中山區五常街39號,縱向及橫向裂縫,觀察
111091503803, 111/09/15 00:00,中山巡1110905708,中山區八德路2段236號,鋪面破損,觀察
111091503812, 111/09/15 00:00,中山巡1110905711,中山區八德路2段262號,縱向及橫向裂縫,觀察
111091503823, 111/09/15 00:00,中山巡1110905819,中山區敬業四路100號,龜裂,觀察
111091503828, 111/09/15 00:00,中山巡1110905821,中山區樂群二路266巷92號,龜裂,觀察
